Non functional Log
The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 11:43:09The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 11:43:38The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 11:44:18The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 11:45:37The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 12:19:19Remote IP Adress: ::1
The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 12:19:37Remote IP Adress: ::1
The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
 Datum/tijd: 15-Jun-2022 12:20:19 Remote IP Adress: ::1
 The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
 Datum/tijd: 15-Jun-2022 12:20:46 Remote IP Adress: ::1
 The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Datum/tijd: 15-Jun-2022 12:24:18 Remote IP Adress: ::1	 The error is: SQLSTATE[HY093]: Invalid parameter number: parameter was not defined	
Date/Time( 15-Jun-2022 13:32:38 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:32:41 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:32:42 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:32:42 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:32:42 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:32:42 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:32:57 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:32:58 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:33:18 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 13:33:28 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 113)	
Date/Time( 15-Jun-2022 14:06:04 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::deleteCountryline-number: 114)	
Date/Time( 15-Jun-2022 14:14:35 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::createCountryline-number: 141)	
Date/Time( 15-Jun-2022 14:15:23 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::createCountryline-number: 141)	
Date/Time( 15-Jun-2022 14:16:02 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::createCountryline-number: 141)	
Date/Time( 15-Jun-2022 14:16:40 )	 Remote IP Adress( ::1)	 The error is( SQLSTATE[HY093]: Invalid parameter number: parameter was not defined)	file( C:\Users\baba\Desktop\mvc-toets\app\models\Country.phpmethod: Country::createCountryline-number: 141)	
